Categoria,Item,ID_Item,Preco,Ingredientes,Promocao,PrecoPromocao
Café,Expresso,11,6.00,Café 100% arábica,sim,5.00
Café,Cappuccino,12,9.00,"Café espresso, leite vaporizado, espuma de leite",nao,
Café,Latte,13,10.00,"Café espresso, leite vaporizado",sim,8.50
Café,Mocha,14,11.00,"Café espresso, leite vaporizado, calda de chocolate",nao,
Café,Macchiato,15,7.50,"Café espresso, um toque de leite vaporizado",nao,
Chás,Chá de Camomila,21,6.00,Flores de camomila,nao,
Chás,Chá Verde,22,6.50,Folhas de chá verde,nao,
Chás,Chá de Hibisco,23,6.50,Flores de hibisco,sim,5.50
Doces,Bolo de Cenoura,31,8.00,"Cenoura, farinha, açúcar, cobertura de chocolate",sim,6.50
Doces,Brownie de Chocolate,32,9.00,"Chocolate meio amargo, manteiga, açúcar, farinha",nao,
Doces,Torta de Limão,33,10.00,"Massa crocante, creme de limão, merengue",nao,
Salgados,Pão de Queijo,41,4.50,"Polvilho, queijo minas",sim,3.50
Salgados,Empada de Frango,42,7.00,"Massa amanteigada, frango desfiado",nao,
Salgados,Croissant de Presunto e Queijo,43,8.50,"Massa folhada, presunto, queijo",nao,
Bebidas Frias,Iced Coffee,51,10.00,"Café gelado, gelo, leite",sim,8.00
Bebidas Frias,Smoothie de Frutas Vermelhas,52,12.00,"Frutas vermelhas, iogurte, mel",nao,
